URL,Keywords
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/chemistry-bsba,"chemistry, state, indiana, degree, students, program, university, chemical, ’, major, biochemistry, faculty, american, academic, society-certified, college, department, science, pursue, overview, programs, costs, student, sciences, graduates, learn, designed, wish, arrow_forward, view, map, credit, toggle, majors, campus, diversity, school, physics, earn, excellent, recognized, inorganic, organic, physical, best, within, projects, award, options, chemist, advanced, skip, main, online, calendar, administration, belonging, apply, top, prepare"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/civil-engineering-technology-bs,"technology, engineering, civil, state, indiana, university, construction, program, design, college, overview, academic, students, costs, diversity, management, coursework, learn, credit, degree, toggle, campus, faculty, expertise, infrastructure, information, projects, graduates, technical, specifications, project, engineers, major, skip, main, majors, programs, online, calendar, student, administration, belonging, apply, top, gain, maintenance, contact, us, department, ’, skills, enable, combines, mechanical, cad, 's, may, include, american, institute"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/communication-ba,"communication, indiana, state, media, university, students, student, social, growth, degree, production, public, view, rate, program, ’, interested, arrow_forward, overview, costs, advocacy, information, communicate, learn, 's, relations, digital, credit, video, toggle, academic, campus, diversity, news, help, prepare, community, many, audiences, creative, multimedia, build, examine, ideal, health, major, skip, main, majors, programs, online, calendar, administration, belonging, engagement, faculty, apply, top, world, contact"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/communication-sciences-and-disorders-bs,"disorders, communication, sciences, indiana, state, speech-language, university, program, ’, pathology, degree, student, faculty, clinical, overview, programs, academic, students, costs, speech, learn, clients, clinic, credit, toggle, campus, diversity, major, language, center, provides, skip, main, majors, online, calendar, services, administration, belonging, give, apply, help, top, careers, contact, us, educational, information, gain, development, hearing, others, passion, health, 's, instructors, assist, experiential, opportunity, projects"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/computer-engineering-technology-bs,"technology, engineering, state, indiana, university, ’, program, electronics, degree, academic, students, design, credit, major, overview, costs, information, 's, toggle, campus, diversity, faculty, earn, offers, practical, technical, learn, skip, main, majors, programs, online, calendar, student, administration, belonging, vision, current, alumni, apply, help, top, systems, industrial, processes, computerized, manufacturing, instrumentation, controls, contact, us, department, projects, business, today, line, standards, emphasis, prepare, experiences"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/construction-management-bs,"construction, management, state, indiana, university, learn, program, project, planning, major, college, overview, academic, costs, degree, ’, skills, credit, toggle, students, campus, administration, diversity, faculty, help, building, scheduling, estimating, structures, internships, control, skip, main, majors, programs, online, calendar, student, belonging, alumni, give, apply, find, top, principles, design, contact, us, department, built, environment, information, critical, hands-on, 's, expert, classroom, class, projects, use"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/criminology-and-criminal-justice-bs,"justice, criminal, criminology, state, indiana, university, law, security, crime, system, program, major, ’, overview, programs, academic, students, costs, learn, school, agencies, analysis, credit, toggle, majors, campus, administration, diversity, faculty, corrections, enforcement, private, internships, professionals, hands-on, collection, federal, abroad, skip, main, online, calendar, student, belonging, alumni, apply, top, judicial, degree, contact, us, information, prepares, areas, investigation, u.s., sponsors, conferences, national, gain"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/cybercriminology-and-security-studies-bs,"security, state, indiana, cybercriminology, university, ’, criminology, information, program, data, school, criminal, cybercrime, academic, physical, national, cyber, defense, digital, analysis, justice, overview, costs, campus, faculty, behavioral, personnel, law, enforcement, homeland, corporate, networks, learn, hands-on, forensics, may, credit, degree, main, toggle, majors, programs, online, student, diversity, apply, compromise, us, science, prepares, technology, internships, lab, cyber/intel, cybersecurity, –, club, credits, major, skip"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/data-science-bs,"data, science, state, indiana, university, ’, mathematics, information, student, program, major, college, overview, academic, students, costs, campus, faculty, one, business, learn, credit, toggle, diversity, demand, excellent, skills, success, goals, include, areas, statistics, analyst, skip, main, programs, online, calendar, administration, belonging, apply, find, top, meet, scientists, across, industries, contact, us, department, fastest-growing, fields, wide, variety, needed, analytical, capable, interests, analytics, geographic"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/economics-ba,"economics, state, indiana, university, degree, ’, economic, program, learn, major, overview, online, costs, administration, diversity, faculty, business, opportunity, credit, toggle, academic, students, campus, areas, government, relations, social, labor, positions, new, skip, main, majors, programs, calendar, student, belonging, apply, help, top, problems, medicine, law, contact, us, information, offers, excellent, traditional, may, theory, evaluate, public, policy, engage, development, internships, conferences, issues, specific"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/electronics-engineering-technology-bs,"electronics, technology, engineering, state, indiana, university, ’, technical, program, degree, overview, costs, skills, coursework, include, credit, major, toggle, programs, academic, students, campus, diversity, faculty, top, science, provides, instrumentation, sales, information, electronic, automation, positions, managerial, learn, industrial, skip, main, majors, online, calendar, student, administration, belonging, vision, current, alumni, apply, help, management, control, manufacturing, service, contact, us, practical, systems, graduates, highly, completion"
